song_id,lyric_id
song_id,lyric_id
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
56,3
57,3
61,3
65,3
23,3
27,3
31,3
36,3
84,3
89,3
98,3
101,3
107,3
115,3
118,3
121,3
122,3
127,3
130,3
148,3
150,3
151,3
156,3
157,3
159,3
163,3
164,3
124,3
154,3
67,10
21,21
22,22
24,24
25,25
26,26
28,28
29,29
30,30
32,32
33,33
34,34
35,35
52,52
53,53
54,54
55,55
58,56
59,57
60,58
62,59
63,60
64,61
66,62
145,63
146,64
147,65
149,66
152,67
153,68
155,69
158,70
160,71
161,72
162,73
114,74
116,75
117,76
119,77
120,78
123,79
125,80
126,81
127,82
128,83
129,84
131,85
132,86
85,89
86,90
87,91
88,92
90,93
91,94
92,95
93,96
94,97
95,98
96,99
97,100
100,101
102,102
103,103
104,104
105,105
106,106
108,107
109,108
110,109
